Day,Start,SOC,Type,End
125,779,0.9,j,805
125,918,0.83,j,945
125,964,0.83,c,-1
126,449,0.87,j,481
126,929,0.75,j,970
126,1163,0.75,c,-1
127,509,0.91,j,544
127,585,0.89,j,595
127,610,0.88,j,616
127,675,0.87,j,681
127,778,0.79,j,792
127,837,0.68,j,856
127,938,0.66,j,945
127,945,0.66,c,-1
128,509,0.85,j,511
128,511,0.83,j,518
128,519,0.83,c,-1
128,829,0.99,j,833
128,859,0.98,j,872
128,884,0.97,j,887
128,921,0.96,j,928
128,934,0.95,j,942
128,975,0.94,j,988
129,509,0.91,j,563
129,771,0.52,j,814
129,818,0.16,c,-1
129,887,0.84,j,910
129,948,0.83,j,952
129,1149,0.83,c,-1
130,633,0.98,j,639
130,647,0.95,j,657
130,692,0.92,j,701
130,719,0.9,j,727
130,977,0.87,j,985
130,1033,0.85,j,1040
130,1121,0.8,j,1134
130,1215,0.75,j,1227
130,1228,0.75,c,-1
131,696,0.77,j,743
131,872,0.73,j,884
132,864,0.58,j,906
132,908,0.58,c,-1
132,965,0.72,j,990
132,1202,0.7,j,1209
132,1220,0.68,j,1226
133,558,0.64,j,581
133,649,0.63,j,654
133,675,0.61,j,686
133,737,0.6,j,742
133,934,0.6,j,939
133,942,0.58,j,959
133,960,0.58,c,-1
134,508,0.99,j,522
134,934,0.98,j,939
134,941,0.95,j,945
134,1060,0.92,j,1070
134,1081,0.89,j,1090
135,507,0.69,j,543
135,637,0.67,j,643
135,677,0.61,j,695
135,725,0.58,j,743
135,991,0.57,j,995
135,1004,0.56,j,1011
135,1024,0.55,j,1028
135,1138,0.53,j,1144
135,1213,0.5,j,1219
135,1220,0.5,c,-1
136,508,0.87,j,536
136,966,0.83,j,975
136,979,0.74,j,994
136,1102,0.71,j,1111
136,1150,0.68,j,1156
137,534,0.67,j,539
137,680,0.66,j,686
137,705,0.62,j,724
137,744,0.62,j,746
137,777,0.62,j,783
137,789,0.61,j,792
137,801,0.61,j,802
137,806,0.61,j,809
137,822,0.61,j,823
137,894,0.58,j,908
137,1261,0.58,c,-1
138,673,0.88,j,707
138,831,0.66,j,859
138,1417,0.66,c,-1