Day,Start,SOC,Type,End,,
122,795,0.092,j,802,,
122,972,0.9,j,973,,
122,994,0.5,j,1009,,
122,1010,0.5,c,-1,,
123,883,0.89,j,899,,
123,1297,0.76,j,1312,,
124,579,0.68,j,595,,
124,710,0.64,j,717,,
124,737,0.5,j,756,,
124,757,0.5,c,-1,,
124,955,0.71,j,970,,
124,1114,0.7,j,1116,,
125,777,0.62,j,789,,
125,822,0.33,j,836,,
125,894,0.33,c,-1,,
125,1026,0.5,j,1044,,
125,1184,0.5,j,1185,,
125,1204,0.33,j,1215,,
125,1216,0.33,c,-1,,
126,558,0.88,j,573,,
126,721,0.87,j,723,,
126,844,0.72,j,858,,
126,1129,0.58,j,1147,,
126,1148,0.58,c,-1,,
127,610,0.75,j,685,,
127,685,0.75,c,-1,,
127,748,0.83,j,753,,
127,770,0.83,c,-1,,
127,799,0.66,j,840,,
127,896,0.66,c,-1,,
127,944,0.93,j,958,,
127,1011,0.81,j,1043,,
128,908,0.72,j,929,,
128,956,0.59,j,979,,
128,997,0.58,j,1001,,
128,1004,0.37,j,1037,,
128,1169,0.25,j,1180,,
129,762,0.25,c,-1,,
129,975,0.62,j,1007,,
130,805,0.61,j,814,,
130,843,0.58,j,853,,
130,933,0.58,c,-1,,
130,999,0.62,j,1025,,
130,1198,0.62,j,1199,,
130,1223,0.5,j,1243,,
130,1243,0.5,c,-1,,
131,586,0.9,j,599,,
131,675,0.86,j,683,,
131,731,0.83,j,743,,
131,793,0.71,j,809,,
131,959,0.64,j,976,,
131,1130,0.64,j,1133,,
131,1149,0.51,j,1164,,
132,777,0.42,j,794,,
132,821,0.38,j,828,,
132,875,0.35,j,882,,
132,993,0.25,j,1008,,
132,1009,0.25,c,-1,,
133,717,0.89,j,732,,
133,780,0.84,j,790,,
133,816,0.65,j,829,,
133,1165,0.97,j,1167,,
133,1191,0.83,j,1205,,
134,550,0.83,c,-1,,
134,619,0.91,j,639,,
134,712,0.8,j,731,,
134,774,0.78,j,780,,
134,813,0.78,j,815,,
134,826,0.66,j,848,,
134,962,0.66,c,-1,,
134,1148,0.88,j,1162,,
134,1165,0.87,j,1167,,
134,1325,0.74,j,1345,,
135,649,0.66,j,665,,
135,723,0.5,j,757,,
135,767,0.5,c,-1,,
135,937,0.93,j,952,,
135,1046,0.8,j,1059,,