n,name,code,lat,lon
1,"""Abham""","""ABHA""",50.47108,-3.7297
2,"""Abernethy""","""ABNE""",56.33949,-3.2940
3,"""Aberthaw""","""ABTH""",51.38785,-3.4019
4,"""Aldwarke""","""ALDW""",53.44523,-1.3190
5,"""Alness""","""ALNE""",57.70741,-4.275
6,"""Alverdiscott""","""ALVE""",51.00538,-4.1353
7,"""Amersham""","""AMEM""",51.66466,-0.6547
8,"""Arbroath""","""ARBR""",56.56393,-2.6166
9,"""Ardmore""","""ARMO""",57.554486,-6.64503
10,"""Axminster""","""AXMI""",50.78594,-2.9233
11,"""Ayr""","""AYRR""",55.45746,-4.5879
12,"""Bathgate""","""BAGA""",55.89992,-3.6730
13,"""Bainsford""","""BAIN""",56.01379,-3.7684
14,"""Beauly""","""BEAU""",57.46882,-4.4909
15,"""Beddington""","""BED1""",51.37408,-0.1261
16,"""Berwick""","""BERW""",55.77749,-2.0790
17,"""Berkswell""","""BESW""",52.38546,-1.6140
18,"""Bicker Fen""","""BICF""",52.93046,-0.2195
19,"""Birkenhead""","""BIRK""",53.36549,-3.0613
20,"""Bishops Wood""","""BISW""",52.31172,-2.2402
21,"""Blyth""","""BLY1""",55.14106,-1.5310
22,"""Boat of Garten""","""BOAG""",57.25332,-3.7320
23,"""Bolney""","""BOLN""",50.97466,-0.233
24,"""Bonnybridge""","""BONN""",56.00791,-3.8619
25,"""Botley Wood""","""BOTW""",50.88393,-1.2305
26,"""BP Grangemouth""","""BPGR""",56.004431,-3.69387
27,"""Braco""","""BRAC""",56.2763,-3.8782
28,"""Braintree""","""BRAI""",51.86442,0.5780
29,"""Braehead Park""","""BRAP""",55.8807,-4.3805
30,"""Bradford West""","""BRAW""",53.81028,-1.8638
31,"""Bredbury""","""BRED""",53.41428,-2.1274
32,"""Bramford""","""BRFO""",52.07083,1.0639
33,"""Bridge of Dun""","""BRID""",56.72143,-2.5571
34,"""Brimsdown""","""BRIM""",51.66398,-0.021
35,"""Barking""","""BARK""",51.52017,0.11329
36,"""Bramley""","""BRLE""",51.33557,-1.0758
37,"""Broadford""","""BROA""",57.24859,-5.9337
38,"""Brora""","""BROR""",58.02032,-3.8756
39,"""Broxburn""","""BROX""",55.91953,-3.4534
40,"""Bridgwater""","""BRWA""",51.1168,-2.967
41,"""Burghmuir""","""BUMU""",56.39663,-3.4871
42,"""Burwell""","""BURW""",52.28034,0.315
43,"""Bushbury""","""BUSH""",52.63662,-2.1143
44,"""Bustleholm""","""BUST""",52.5529,-1.9594
45,"""Carradale""","""CAAD""",55.59091,-5.5024
46,"""Camblesforth""","""CAML""",53.729427,-1.00094
47,"""Canterbury""","""CANT""",51.29322,1.0982
48,"""Capenhurst""","""CAPE""",53.2685,-2.9478
49,"""Carrington""","""CARR""",53.43601,-2.4057
50,"""Cardiff East""","""CARE""",51.49432,-3.1441
51,"""Cassley""","""CASS""",58.18731,-4.7282
52,"""Carntyne""","""CATY""",55.85784,-4.1972
53,"""Ceannacroc""","""CEAN""",57.154185,-4.93711
54,"""Cellarhead""","""CELL""",53.04058,-2.0811
55,"""Chapelcross""","""CHAP""",55.01653,-3.2293
56,"""Charleston""","""CHAR""",56.47393,-3.0437
57,"""Charlotte Street""","""CHAS""",55.85519,-4.2398
58,"""Chickerell""","""CHIC""",50.62406,-2.4852
59,"""Chessington""","""CHSI""",51.34358,-0.3211
60,"""Chesterfield""","""CHTE""",53.22425,-1.3873
61,"""City Road""","""CITR""",51.52967,-0.0941
62,"""Clachan""","""CLAC""",56.27669,-4.9234
63,"""Clayhills""","""CLAY""",57.14036,-2.0991
64,"""Clyde's Mill""","""CLYM""",55.82502,-4.1530
65,"""Coatbridge""","""COAT""",55.8516,-4.0140
66,"""Cockenzie""","""COCK""",55.96733,-2.967
67,"""Connah's Quay""","""CON1""",53.22755,-3.0726
68,"""Corridor (Tod Point)""","""CORR""",54.606477,-1.11669
69,"""Coupar Angus""","""COUA""",56.53827,-3.2731
70,"""Coventry""","""COVE""",52.45608,-1.4622
71,"""Cowley""","""COWL""",51.71105,-1.1890
72,"""Coylton""","""COYL""",55.44719,-4.4307
73,"""Craigiebuckler""","""CRAI""",57.13132,-2.1536
74,"""Crookston""","""CROO""",55.82121,-4.3653
75,"""Creyke Beck""","""CRSE""",53.80048,-0.4156
76,"""Culham Jet""","""CULJ""",51.6607,-1.2268
77,"""Cumbernauld""","""CUMB""",55.94687,-3.9641
78,"""Cupar""","""CUPA""",56.31469,-3.0349
79,"""Currie""","""CURR""",55.90112,-3.3090
80,"""Deeside""","""DEES""",53.23034,-3.0761
81,"""Devol Moor (Port Galsgow)""","""DEVM""",55.91631,-4.7101
82,"""Devonside""","""DEVO""",56.13696,-3.7
83,"""Dewar Place""","""DEWP""",55.94704,-3.210
84,"""Dounreay""","""DOUN""",58.5763,-3.7556
85,"""Drakelow""","""DRAK""",52.77345,-1.6515
86,"""Drax""","""DRAX""",53.73598,-0.990
87,"""Drumcross""","""DRCR""",55.90659,-3.5872
88,"""Drumchapel""","""DRUM""",55.91525,-4.3492
89,"""Dunbeath""","""DUBE""",58.2659,-3.4351
90,"""Dudhope""","""DUDH""",56.46279,-2.9769
91,"""Dunvegan""","""DUGR""",57.432716,-6.53962
92,"""Dumfries""","""DUMF""",55.06763,-3.591
93,"""Dunbar""","""DUNB""",55.97735,-2.573
94,"""Dunfermline""","""DUNF""",56.08958,-3.4492
95,"""Dunoon""","""DUNO""",55.97589,-4.9471
96,"""Dyce""","""DYCE""",57.21571,-2.1903
97,"""Ealing""","""EALI""",51.50134,-0.2945
98,"""Eaton Socon""","""EASO""",52.21422,-0.3000
99,"""Eccles""","""ECCL""",55.66835,-2.3274
100,"""East Claydon""","""ECLA""",51.92579,-0.9056
101,"""Easterhouse""","""EERH""",55.87962,-4.0754
102,"""East Kilbride""","""EKIL""",55.78534,-4.193
103,"""East Kilbride South""","""EKIS""",55.74056,-4.1632
104,"""Elderslie""","""ELDE""",55.84061,-4.464
105,"""Elgin""","""ELGI""",57.66528,-3.3208
106,"""Elland""","""ELLA""",53.69365,-1.8222
107,"""Elstree""","""ELST""",51.661,-0.3437
108,"""Enderby""","""ENDE""",52.59726,-1.2154
109,"""Erskine""","""ERSK""",55.90378,-4.4603
110,"""Exeter""","""EXET""",50.76702,-3.4039
111,"""Fasnakyle""","""FASN""",57.32867,-4.7888
112,"""Fort Augustus""","""FAUG""",57.13696,-4.7198
113,"""Fawley""","""FAWL""",50.82116,-1.3271
114,"""Feckenham""","""FECK""",52.2519,-1.9723
115,"""Ferrybridge""","""FERR""",53.71912,-1.270
116,"""Fiddes""","""FIDD""",56.92444,-2.3006
117,"""Fiddler's Ferry""","""FIDF""",53.37103,-2.6877
118,"""Fleet""","""FLEE""",51.25075,-0.8818
119,"""Fourstones""","""FOUR""",55.01175,-2.1626
120,"""Fraserburgh""","""FRAS""",57.68654,-2.0234
121,"""Frodsham""","""FROD""",53.30934,-2.7154
122,"""Fort William""","""FWIL""",56.82035,-5.0787
123,"""Galashiels""","""GALA""",55.61037,-2.7714
124,"""Giffnock""","""GIFF""",55.79869,-4.2998
125,"""Glenagnes""","""GLAG""",56.481073,-3.01725
126,"""Glenluce""","""GLLU""",54.88189,-4.8080
127,"""Gleniston""","""GLNI""",56.11106,-3.2711
128,"""Glenrothes""","""GLRO""",56.20701,-3.2007
129,"""Gorgie""","""GORG""",55.93637,-3.2367
130,"""Govan""","""GOVA""",55.8551,-4.3162
131,"""Grendon""","""GREN""",52.24269,-0.7273
132,"""Grimsby West""","""GRIW""",53.56499,-0.1506
133,"""Grangemouth""","""GRMO""",56.00463,-3.6939
134,"""Grangetown""","""GRTO""",54.581721,-1.14959
135,"""Grudie Bridge""","""GRUB""",57.6198,-4.8312
136,"""Hackney""","""HACK""",51.55898,-0.0417
137,"""Hagg's Road""","""HAGR""",55.82997,-4.2967
138,"""Harker""","""HARK""",54.94131,-2.9614
139,"""Hart Moor""","""HARM""",54.70038,-1.2904
140,"""Hawick""","""HAWI""",55.43296,-2.8020
141,"""Hawthorn Pit""","""HAWP""",54.80525,-1.4014
142,"""Helensburgh""","""HELE""",56.02378,-4.7090
143,"""Heysham""","""HEYS""",54.0321,-2.8897
144,"""Hunterston Farm""","""HUNF""",55.72213,-4.8884
145,"""Hurst""","""HURS""",51.43215,0.1562
146,"""Hutton""","""HUTT""",54.29736,-2.6694
147,"""Imperial Park""","""IMPP""",51.54744,-3.0296
148,"""Ince""","""INCE""",53.277739,-2.81113
149,"""Indian Queens""","""INDQ""",50.39439,-4.8978
150,"""Inverkeithing""","""INKE""",56.04232,-3.3900
151,"""Inverness""","""INNE""",57.45364,-4.2465
152,"""Iron Acton""","""IROA""",51.56933,-2.4793
153,"""Ironbridge""","""IRON""",52.63163,-2.512
154,"""Iver""","""IVER""",51.54361,-0.4972
155,"""Johnstone""","""JOHN""",55.845,-4.5059
156,"""Jordanthorpe""","""JORD""",53.32921,-1.456
157,"""Kaimes""","""KAIM""",55.89156,-3.1633
158,"""Keadby""","""KEAD""",53.5978,-0.7545
159,"""Keith""","""KEIT""",57.54023,-2.9387
160,"""Kemsley""","""KEM1""",51.36774,0.7431
161,"""Kearsley""","""KEAR""",53.53738,-2.3560
162,"""Kirkby""","""KIBY""",53.46896,-2.8463
163,"""Killermont""","""KIER""",55.9035,-4.3090
164,"""Killin""","""KIIN""",56.47715,-4.3281
165,"""Kilbowie""","""KILB""",55.9189,-4.4104
166,"""Kinlochleven""","""KILO""",56.71451,-4.9542
167,"""Kilmarnock Town""","""KILS""",55.575958,-4.43687
168,"""Kilmarnock Town 2""","""KILT""",55.59783,-4.4954
169,"""Kilwinning""","""KILW""",55.66523,-4.6801
170,"""Kilbowie 2""","""KILX""",55.930273,-4.37690
171,"""Kingsnorth""","""KINO""",51.41803,0.6000
172,"""Kintore""","""KINT""",57.21887,-2.3808
173,"""Kirkby SGT5""","""KIR1""",53.806224,-1.59804
174,"""Kirkstall""","""KIRK""",53.80602,-1.5965
175,"""Kitwell""","""KITW""",52.4304,-2.0124
176,"""Lackenby""","""LACK""",54.56683,-1.130
177,"""Lairg""","""LAIR""",58.02921,-4.4146
178,"""Laleham""","""LALE""",51.42324,-0.4690
179,"""Landulph""","""LAND""",50.44447,-4.2415
180,"""Legacy""","""LEGA""",53.02823,-3.0524
181,"""Lea Marsden""","""LEMR""",52.528656,-1.70874
182,"""Leven""","""LEVE""",56.19874,-3.0386
183,"""Livingstone""","""LING""",55.88266,-3.4927
184,"""Linnmill""","""LINM""",55.67157,-3.8265
185,"""Linton""","""LINT""",55.228725,-1.60496
186,"""Lister Drive""","""LISD""",53.41838,-2.922
187,"""Littlebrook""","""LITT""",51.46414,0.2408
188,"""Lodge Road""","""LODR""",51.528355,-0.17038
189,"""Lovedean""","""LOVE""",50.91681,-1.0385
190,"""Lunanhead""","""LUNA""",56.65499,-2.8644
191,"""Lyndhurst""","""LYND""",56.48132,-3.0196
192,"""Macclesfield""","""MACC""",53.26843,-2.1
193,"""Macduff""","""MACD""",57.664,-2.4994
194,"""Margam""","""MAGA""",51.56246,-3.7527
195,"""Mannington""","""MANN""",50.84632,-1.8946
196,"""Maybole""","""MAYB""",55.34249,-4.6855
197,"""Meadowhead""","""MEAD""",55.58377,-4.6381
198,"""Melksham""","""MELK""",51.39403,-2.1493
199,"""Milton of Craigie""","""MILC""",56.47486,-2.926
200,"""Mill Hill""","""MILH""",51.61738,-0.2069
201,"""Minety""","""MITY""",51.60728,-2.0011
202,"""Mossmorran West Exxon""","""MOSW""",56.1055997,-3.29311
203,"""Mybster""","""MYBS""",58.44655,-3.4253
204,"""Nairn""","""NAIR""",57.57694,-3.8460
205,"""Newarthill""","""NEAR""",55.8248,-3.9461
206,"""Nechells""","""NECH""",52.50647,-1.8509
207,"""Neepsend""","""NEEP""",53.40642,-1.4869
208,"""Newton Stewart""","""NETS""",54.95314,-4.499
209,"""New Cross""","""NEWX""",51.48412,-0.0579
210,"""North Fleet East""","""NFLE""",51.427952,0.32973
211,"""North Hyde""","""NHYD""",51.49941,-0.4098
212,"""Ninfield""","""NINF""",50.88089,0.4494
213,"""Norton Lees""","""NORL""",53.34823,-1.4699
214,"""Norwich Main""","""NORM""",52.57327,1.2717
215,"""Norton""","""NORT""",54.5927,-1.3656
216,"""Nursling""","""NURS""",50.94195,-1.4852
217,"""Ocker Hill""","""OCKH""",52.54155,-2.0282
218,"""Offerton""","""OFFE""",54.88069,-1.4563
219,"""Oldbury""","""OLDB""",52.49906,-2.021
220,"""Osbaldwick""","""OSBA""",53.95657,-1.0209
221,"""Padiham""","""PADI""",53.79514,-2.3196
222,"""Paisley""","""PAIS""",55.84013,-4.4136
223,"""Partick""","""PART""",55.87028,-4.3163
224,"""Peterhead Grange""","""PEHG""",57.50944,-1.8047
225,"""Pehe Shell""","""PEHS""",57.473556,-1.79953
226,"""Pelham""","""PELH""",51.93467,0.1203
227,"""Pembroke""","""PEMB""",51.68165,-4.9893
228,"""Penwortham""","""PEWO""",53.74634,-2.7565
229,"""Penn""","""PENN""",52.55656,-2.2083
230,"""Pentir""","""PENT""",53.1873,-4.1567
231,"""Persley""","""PERS""",57.17446,-2.1372
232,"""Pitsmoor""","""PITS""",53.40046,-1.4421
233,"""Portobello""","""POOB""",55.95296,-3.1239
234,"""Poppleton""","""POPP""",53.97485,-1.1300
235,"""Port Ann""","""PORA""",56.02837,-5.3557
236,"""Port Dundas""","""PORD""",55.87342,-4.254
237,"""Pyle""","""PYLE""",51.53544,-3.6865
238,"""Rainhill""","""RAIN""",53.42095,-2.7374
239,"""Rannoch""","""RANN""",56.69217,-4.4100
240,"""Rassau""","""RASS""",51.80789,-3.225
241,"""Ratcliffe-on-Soar""","""RATS""",52.86342,-1.2544
242,"""Ravenscraig""","""RAVE""",56.145533,-3.14530
243,"""Rayleigh""","""RAYL""",51.59355,0.5681
244,"""Redbridge""","""REBR""",51.58803,0.0446
245,"""Redhouse""","""REDH""",56.14562,-3.1450
246,"""Redmoss""","""REDM""",57.10803,-2.0924
247,"""Rochdale""","""ROCH""",53.6217,-2.2153
248,"""Rugeley""","""RUGE""",52.75633,-1.9135
249,"""Rye House""","""RYEH""",51.75854,0.0101
250,"""Saltcoats""","""SACO""",55.6469,-4.7966
251,"""Saltholme""","""SALH""",54.60537,-1.2361
252,"""St Andrews Cross""","""SANX""",55.84403,-4.2605
253,"""Seabank""","""SEAB""",51.53663,-2.6686
254,"""Sellindge""","""SELL""",51.10592,0.9778
255,"""St Fergus Gas Terminal""","""SFEG""",57.57418,-1.8495
256,"""St Fillians""","""SFIL""",56.3946,-4.120
257,"""Sheffield City""","""SHEC""",53.37445,-1.4770
258,"""Sheerness Steel""","""SHEE""",51.436756,0.74960
259,"""Shin""","""SHIN""",57.94389,-4.4123
260,"""Shrewsbury""","""SHRE""",52.70869,-2.6914
261,"""Shrubhill""","""SHRU""",55.96433,-3.1853
262,"""Sighthill""","""SIGH""",55.92867,-3.304
263,"""St Johns Wood""","""SJOW""",51.527,-0.1679
264,"""Skelton Grange""","""SKLG""",53.77667,-1.4953
265,"""Sloy""","""SLOY""",56.24514,-4.7305
266,"""South Manchester""","""SMAN""",53.42002,-2.2748
267,"""Spango Valley""","""SPAV""",55.93664,-4.8142
268,"""Spennymoor""","""SPEN""",54.70514,-1.5512
269,"""South Shields""","""SSHI""",54.9733,-1.4478
270,"""Stanah""","""STAH""",53.87862,-2.9864
271,"""Stalybridge""","""STAL""",53.4934,-2.0397
272,"""Staythorpe""","""STAY""",53.07717,-0.8673
273,"""Stella North""","""STEL""",54.97785,-1.7246
274,"""Strathaven""","""STHA""",55.75309,-4.0807
275,"""Stirling""","""STIR""",56.11777,-3.9190
276,"""Strathleven""","""STLE""",55.96095,-4.5620
277,"""Stanmore""","""STMO""",51.05078,-1.32653
278,"""Stoke Bardolph""","""STOB""",52.95976,-1.0506
279,"""Strichen""","""STRI""",57.58682,-2.0702
280,"""Sundon""","""SUND""",51.93586,-0.5014
281,"""Swansea North""","""SWAN""",51.68897,-3.9555
282,"""Sydenham""","""SYD1""",51.433113,-0.05345
283,"""Tarland""","""TARL""",57.1514,-2.7883
284,"""Taunton""","""TAUN""",51.01643,-3.1538
285,"""Taynuilt""","""TAYN""",56.43039,-5.2142
286,"""Telford Road""","""TELR""",55.96161,-3.2433
287,"""Templeborough""","""TEMP""",53.41178,-1.3842
288,"""Thorpe Marsh""","""THOM""",53.57845,-1.0854
289,"""Thurso""","""THSO""",58.57492,-3.5114
290,"""Thurcroft""","""THUR""",53.40464,-1.2669
291,"""Tilbury""","""TILB""",51.45976,0.395
292,"""Tinsley Park""","""TINP""",53.40087,-1.3930
293,"""Tongland""","""TONG""",54.85974,-4.0347
294,"""Tottenham""","""TOTT""",51.60402,-0.0460
295,"""Trawsfynydd""","""TRAW""",52.9271,-3.9462
296,"""Tremorfa""","""TREM""",51.48146,-3.1289
297,"""Tummel Bridge""","""TUMB""",56.70624,-4.0237
298,"""Tynemouth""","""TYNE""",55.0236,-1.4990
299,"""Upper Boat""","""UPPB""",51.57359,-3.2991
300,"""Uskmouth""","""USKM""",51.54663,-2.9772
301,"""Walham""","""WALH""",51.87874,-2.2525
302,"""Walpole""","""WALP""",52.72622,0.1997
303,"""Warley""","""WARL""",51.55232,0.3030
304,"""Washway Farm""","""WASF""",53.56236,-2.8181
305,"""Watford South""","""WATS""",51.64253,-0.4025
306,"""West Boldon""","""WBOL""",54.94002,-1.4687
307,"""West Burton""","""WBUR""",53.35891,-0.8078
308,"""Westfield""","""WFIE""",56.16384,-3.2987
309,"""West George Street""","""WGEO""",55.863,-4.265
310,"""West Ham""","""WHAM""",51.51908,0.0023
311,"""Whitegate""","""WHGA""",53.52853,-2.1657
312,"""Whitehouse""","""WHHO""",55.93129,-3.2017
313,"""Whitson""","""WHSO""",51.56488,-2.9074
314,"""Whistlefield""","""WHTL""",56.08972,-4.8416
315,"""Wincobank""","""WIBA""",53.41559,-1.4123
316,"""Willenhall""","""WIEN""",52.57746,-2.0480
317,"""Willington""","""WILL""",52.85506,-1.5452
318,"""Wilton""","""WILT""",54.575826,-1.13170
319,"""Wimbledon""","""WIMB""",51.43048,-0.1864
320,"""Willowdale""","""WIOW""",57.15384,-2.0975
321,"""Willesden""","""WISD""",51.53373,-0.2563
322,"""Wishaw (Gowkthrapple)""","""WISH""",55.76492,-3.9298
323,"""West Melton""","""WMEL""",53.50118,-1.3754
324,"""Woodhill""","""WOHI""",57.15379,-2.1470
325,"""West Thurrock""","""WTHU""",51.47041,0.2896
326,"""West Weybridge""","""WWEY""",51.35286,-0.4780
327,"""Wymondley""","""WYMO""",51.92672,-0.2486
