Bus,vehicles per HH,Av Commute (mi),% by car,people per HH,%e7,kWh per meter,nHH
1,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
2,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
3,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
4,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
5,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
6,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
7,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
8,1.0540313600937454,12.677826879271072,0.400299164768413,2.1634016704631738,0.265215490136848,3022.8137433561124,13170
9,1.0758702994663538,8.27275844693895,0.4557101867144416,2.2625409400106373,0.11597367610244128,3104.683901128125,142892
10,0.9840695861041259,8.673520491771574,0.4114230479804372,2.289981027058266,0.056280379110779676,2659.2864737401005,904973
11,1.047443535976251,7.246249919461346,0.44570311577161364,2.340397914586085,0.08006314514763607,2965.727317633667,744984
12,1.0253474605986932,8.230928168773405,0.4169222429361561,2.313238135050777,0.0821986651694866,2963.5221108647106,1035803
13,1.0247848802096065,6.902715986519213,0.439979453170071,2.3660424466618957,0.0756103781587521,2968.501973267858,1787137
14,1.0093638865286076,6.989029766065036,0.4273908577615147,2.3901177212240814,0.08279878394054535,2817.8531417451245,1459380
15,1.0433295698093272,8.510665359732267,0.4373703350765506,2.3607526449635188,0.07379663162736357,2838.5385105540217,696796
16,1.0415653148155108,8.108741433592416,0.4359127479203889,2.3187429369256662,0.13971407572841452,2892.2181751262283,578714
17,1.0619213595435029,7.4392934595141265,0.45560229266406954,2.4172730381515954,0.3476613268928941,2968.367310208451,1345160
18,1.053949655054162,7.0560569044350805,0.4378393398951854,2.4537954303729457,0.15252732108370454,3102.1992589850415,1915211
19,1.109694820808848,9.027968686272544,0.4732774091081395,2.362574193765085,0.3595605809384217,3270.1847586693343,416814
20,1.0961875429286794,8.541607134087574,0.44200618500865024,2.3190611358919924,0.3292863691930066,3188.0057275874115,712691
21,1.1204867180029432,8.523482908895277,0.4337531205164991,2.450731707317073,0.26675227230424525,3286.413780487805,557600
22,1.1297205910313783,8.408964591325168,0.4882084794325071,2.4742068167590205,0.2690709703209163,3208.151642092339,988769
23,1.109885525872144,7.744363191362234,0.46006017007308614,2.3687230428418227,0.1237458924262906,3132.2258873955093,1149741
24,1.161777528136845,7.948180387635552,0.4755166656279865,2.510810066891022,0.10376467560858146,3389.5564522830196,770208
25,0.940555130047959,6.076052732832989,0.24635165814596727,2.4897014742600905,0.15058364124866427,2933.048226588955,4254541
26,1.1033456345393848,9.171795780947996,0.4360236279008814,2.425498779040318,0.25218766777648305,3268.259877929232,793638
27,1.042882313431722,9.190007169689695,0.4085833536675376,2.321220172735297,0.236131808653859,2940.0822917702203,331953
28,1.0936906790168104,7.737260501151511,0.4430697656954039,2.3481475918694303,0.12612234031762243,3077.7061517472716,798960
29,1.0764129059401697,8.25120535825501,0.44033285220617796,2.331443396720438,0.11095699172598132,3032.7789541864927,1966909